#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 06 15 11 30 110  5.0  6.0   0.2    MM    MM  MM     MM  17.0    MM  11.3   MM   MM    MM
2017 06 15 11 23 110  4.0  5.0   0.2    MM    MM  MM     MM  17.3    MM  11.4   MM   MM    MM
2017 06 15 11 00 110  5.0  6.0   0.2    MM    MM  MM     MM  17.3    MM  11.2   MM   MM    MM
2017 06 15 10 53 110  5.0  6.0   0.2    MM    MM  MM     MM  17.3    MM  11.2   MM   MM    MM
2017 06 15 10 45 110  5.0  6.0   0.2    MM    MM  MM     MM  17.3    MM  10.9   MM   MM    MM
2017 06 15 10 15 110  5.0  6.0   0.2    MM    MM  MM     MM  17.2    MM  10.7   MM   MM    MM
2017 06 15 10 00 110  5.0  6.0   0.2    MM    MM  MM     MM  17.2    MM   9.9   MM   MM    MM
2017 06 15 09 53 110  5.0  6.0   0.2    MM    MM  MM     MM  17.2    MM  10.7   MM   MM    MM
2017 06 15 09 45 100  4.0  5.0   0.2    MM    MM  MM     MM  17.2    MM  10.3   MM   MM    MM
2017 06 15 09 15 110  5.0  6.0   0.2    MM    MM  MM     MM  17.3    MM  10.0   MM   MM    MM
2017 06 15 09 00 110  5.0  6.0   0.2    MM    MM  MM     MM  17.2    MM  10.1   MM   MM    MM
2017 06 15 08 53 110  5.0  6.0   0.2    MM    MM  MM     MM  17.3    MM  10.0   MM   MM    MM
2017 06 15 08 45 110  4.0  6.0   0.2    MM    MM  MM     MM  17.1    MM  10.2   MM   MM    MM
2017 06 15 08 30 120  5.0  6.0   0.2    MM    MM  MM     MM  17.1    MM  10.2   MM   MM    MM
2017 06 15 07 53 120  5.0  6.0   0.2    MM    MM  MM     MM  17.2    MM  10.3   MM   MM    MM
2017 06 15 07 15 120  4.0  6.0   0.2    MM    MM  MM     MM  17.2    MM  10.9   MM   MM    MM
2017 06 15 06 30 120  4.0  5.0   0.3    MM    MM  MM     MM  17.2    MM  12.0   MM   MM    MM
2017 06 15 06 23 120  4.0  6.0   0.2    MM    MM  MM     MM  17.2    MM  10.9   MM   MM    MM
2017 06 15 05 53 120  4.0  5.0   0.3    MM    MM  MM     MM  17.2    MM  12.0   MM   MM    MM
2017 06 15 05 30 130  5.0  6.0   0.3    MM    MM  MM     MM  17.3    MM  12.6   MM   MM    MM
2017 06 15 04 53 140  5.0  6.0   0.3    MM    MM  MM     MM  17.6    MM  12.8   MM   MM    MM
2017 06 15 04 00 140  4.0  6.0   0.3    MM    MM  MM     MM  17.9    MM  13.2   MM   MM    MM
2017 06 15 03 53 140  4.0  6.0   0.3    MM    MM  MM     MM  17.9    MM  13.2   MM   MM    MM
2017 06 15 03 45 140  5.0  6.0   0.3    MM    MM  MM     MM  18.0    MM  13.2   MM   MM    MM
2017 06 15 03 30 150  4.0  6.0   0.3    MM    MM  MM     MM  18.1    MM  13.4   MM   MM    MM
2017 06 15 03 00 130  5.0  5.0   0.3    MM    MM  MM     MM  18.5    MM  13.8   MM   MM    MM
2017 06 15 02 53 130  5.0  5.0   0.3    MM    MM  MM     MM  18.5    MM  13.8   MM   MM    MM
2017 06 15 02 30 120  4.0  5.0   0.3    MM    MM  MM     MM  18.8    MM  14.3   MM   MM    MM
2017 06 15 01 45 140  5.0  6.0   0.3    MM    MM  MM     MM  19.6    MM  13.9   MM   MM    MM
2017 06 15 01 30 130  5.0  6.0   0.3    MM    MM  MM     MM  20.0    MM  13.5   MM   MM    MM
2017 06 15 01 23 140  5.0  6.0   0.3    MM    MM  MM     MM  19.6    MM  13.9   MM   MM    MM
2017 06 15 01 15 130  5.0  6.0   0.3    MM    MM  MM     MM  20.4    MM  13.7   MM   MM    MM
2017 06 15 01 00 140  5.0  6.0   0.3    MM    MM  MM     MM  20.8    MM  13.5   MM   MM    MM
2017 06 15 00 53 140  5.0  6.0   0.3    MM    MM  MM     MM  20.8    MM  13.5   MM   MM    MM
2017 06 14 23 45 160  5.0  6.0   0.3    MM    MM  MM     MM  21.7    MM  14.3   MM   MM    MM
2017 06 14 22 15 190  6.0  7.0   0.1    MM    MM  MM     MM  23.1    MM  15.4   MM   MM    MM
2017 06 14 21 53 190  6.0  7.0   0.1    MM    MM  MM     MM  23.1    MM  15.4   MM   MM    MM
2017 06 14 21 15 160  4.0  7.0   0.1    MM    MM  MM     MM  23.2    MM  18.2   MM   MM    MM
